Text,class,label
"স্টিলে আর পোষাচ্ছে না বাড়া, এবার ফুল ভিড্যু লিংক চাই। কোয়ালিটি যেন এইচডি হয় সেদিকে খেয়াল রাখবা।",Celebrity,Sexual
সালমানের ছোট্ট বাড়া জীবনে হয় নাহ খাড়া দিলে হালকা নাড়া শুরু হয় পানি পড়া,Celebrity,Sexual
চোখের পর্দা ও মনের পর্দা সব আইসিউতে চলে গিয়েছে এই ছবি দেখে!,Celebrity,dishonour
"হালারফোহালা আজকে শুক্রবার, শনি কালকেই তোর উপর ভর করবো",Celebrity,Incursive
অার কত খাবি?,Celebrity,Sexual
জাতি এখন সম্পূর্ণ ভিডিও এর লিংকের অপেক্ষাই,Celebrity,Sexual
আর কত জন রে এভাবে খেয়ে দিবা ভাই,Celebrity,Sexual
তর ওইডা কি সারাদিন নড়াচড়া করে নাকি।একেক বার একেক মাগি রে ধরস? খাচ্ছিস খা লিংক দেস না ক্যারে? লিংক দিলেই তো এই গালিডা তরে দিতাম না।তরে আরো সাপোর্ট দিতাম,Celebrity,Sexual
"নেয়া নেয়া সাল হে, নেয়া নেয়া মাল হে",Celebrity,Sexual
এই শীতেও তর চেতনা দন্ড দাঁড়ায় কিভাবে তা জানতে চাওয়া আমার কিউরিয়াস মাইন্ড।,Celebrity,Sexual
মুরাদপুর সমীরন নেসা স্কুলে দশম শ্রেণিতে ফেল করা মেয়েটি আজ সালমান ওরফে প্লেবয় এর সাথে মধ্যরাত শো করছে,Celebrity,dishonour
দুই দিন পরপর যখন কোনো কন্টেন্ট খুজে পাও নাহ তখন এসব অশ্লীলতা করে মানুষের নজরে অাসতে হয় নাকি!!!!! আর এখানে আসলে দেখা যায় মেয়েদের মনমানসিকতা,Celebrity,dishonour
এই যদি হয় ক্যামেরার সামনের দৃশ্য তাহলে পেছনের টা কি,Celebrity,Sexual
"সালমান হালার ভাই আর কয়টারে খাবি?জেসিয়ার হার্ট ভাইংগা তো ছাইড়া দিলা,আবার এইনে হার্ট সোদাও",Celebrity,Sexual
"যাক তবু ভাল আগের মত খালি হাড্ডি নিয়া নাড়াচাড়া করেন না,সাথে একটু মাংস ও আছে ! জেসিয়া আপা রে দেখলে ভয় লাগতো ! আপনার এত কচি শরীর যদি জেসিয়া আপার হাড্ডিতে টাক লেগে ভেংগে যেত? এই ভয় টাই লাগতো আরকি",Celebrity,Sexual
এই শীতের মধ্যেও খালি গায়ে কেন??,Celebrity,Sexual
"চিকন জোড়া বেত দিতে প্যান্ট খুলে দেড় ঘন্টা ননস্টপ কশতে (বেত্রাঘাত) পারলে, মনটায় শান্তি পাইতো। ফাউলের ফাউল একটা। উঠতি বয়সের স্কুলপড়ুয়া ছেলে-মেয়েদের নষ্ট করতে একজন সালমান'ই যথেষ্ট। বালের সেলিব্রেটি।",Celebrity,Incursive
মেয়েরা এদের জন্য পাগল আবার চুইদ্দা ছাইড়া দিলে বলবে সব ছেলেরাই খারাপ সব প্লেবয় সব ফাকবয়,Celebrity,Sexual
সালমান তুমি খালি গায়ে কেনো!!!,Celebrity,Sexual
সালমানের ছোট্ট বাড়া,Celebrity,Sexual
বাংলাদেশের সবচেয়ে বড় প্লেবয়।,Celebrity,Sexual
এমনিতেই সামনে কিসব ইচিংবিচিং ডে আসতেছে।আর এ শ্লা উস্কানিমূলক ছবি পোস্ট করছে।সিঙ্গেল সমাজ এক হও।,Celebrity,Incursive
আমি জানি ছবি গুলা তুলার সময়ই তোমার বের হয়ে গেছেখেলতে আর পারো নাই (2),Celebrity,Sexual
"বন্দুক ছাড়া যুদ্ধের ময়দানে নেমেছ ব্রো। সে তো আর জানে নাহ যে তুমি উপরতলা পর্যন্ত ই সীমাবদ্ধ, নিচতলায় যাওয়ার ক্ষমতা তোমার নাই।",Celebrity,Sexual
বদমাইশি ও লুচ্চামির একটা সীমা থাকে এ হারামজাদা সেটা ও অতিক্রম করে ফেলছে।,Celebrity,Incursive
বাচ্চা মেয়েটাকে একা ঘরে পেয়ে কাবাডি খেলার ট্রেনিং দিতেছে বালম্যান মুক্তাদির,Celebrity,dishonour
রোহিংগাদের কাপড় জুটে কিন্ত হতভাগা দুনো টাই দেশের নাগরিক হয়েও শরীর ঢাকার কাপড় মিলে না। এ দায় নিশ্চিয়ই দেশ প্রধানের,Celebrity,dishonour
সালমান তোমাকে বেশি হট লাগতেছে,Celebrity,Sexual
"শুনো পরের টা একটু মোটা দেখে চয়েস কইরো,চিকনা চিকনা দেখতে দেখতে বোরড হয়ে গেছি,এবার মোটা মেয়ের সাথে পিক দেখতে চাই",Celebrity,dishonour
অল্প বয়সে পাকিলে বাল দুঃখ থাকে চিরকাল। অল্প অল্প মেঘ থেকে শুরু হয় বৃষ্টি এক রাতের দৃর্ঘটনায় বালমানের সৃষ্টি।,Celebrity,Sexual
গিটার বাজানো ছাড়া অার কোনো উপায় নাই এখন,Celebrity,Sexual
মেয়েটা জন্য খারাপ লাগছে প্রচুর এই ভারা শিতে কি একটু গায়ে পিক তুলছে। কে আছিস একটা ছোয়েটার এনে দেয় গুলিস্তান থেকে,Celebrity,dishonour
শরীরের বিশেষ এমন একটা অংশে কেঁপে () উঠলো।,Celebrity,Sexual
এই গুলা দেখে আমার টা দারিয়ে পরলো,Celebrity,Sexual
বস্তি থেকে ভাড়া করা মেয়ে,Celebrity,dishonour
এমনিতেই বাসা থেকে বিয়ে দিচ্ছে না তার ওপর এসব ছবিযৌবনের রস সব কমোডেই গেল,Celebrity,dishonour
ভাই তোরও ৫ ইন্ঞী আর অন্য সব বাঙালিরও ৫ইন্ঞী কিন্তু পার্থক্য একটাই তুই দুইদিন পরপর নতুন মাইয়া দিয়া আর সাধারণ বাঙালি বাম হাত দিয়া,Celebrity,Sexual
মিডিয়াতে পাত্তা না পাওয়া পাব্লিক গুলো পাত্তা পাওয়ার জন্য এসব করে,Celebrity,dishonour
"ড্যানি ডানিয়েল,মিয়া খলিফা,নাতাশা মালকোভা,এন্জেলা হোয়াইট, লিয়া গোথি,রেগান ফক্স,মিয়া মালকোভা, শার্লিন চোপড়া ইত্যাদি নিয়ে ছিলেন।",Celebrity,dishonour
কোথাওতো হিমালয় পর্বত খুঁজে পাইলাম না.....,Celebrity,Sexual
"শালা তুই নিজে একটা,,,হিজরা ফিটনেস,, অধিকারী,,,হইয়া,,,এসব পোচ তরে মানায়,,,,না,,,,",Celebrity,dishonour
বাসায় বউ রেখে জামা কাপড় খুলে এসব করছো বাবু,Celebrity,Sexual
নুনুটা কিঞ্চিৎ কেঁপে উঠলো.,Celebrity,Sexual
নিসন্দেহে একটা মাদারচুদ কে জাতী চিনতে পারলো ধন্যবাদ!,Celebrity,dishonour
আপুর জামার নিচের স্মার্ট ওয়াচ টা কোন ব্যান্ডের? আমি একটা কিনবো।,Celebrity,Sexual
এবারের ভিডিওটা যেনো আগেরটার থেকে ক্লিয়ার হয়।।।অনুরোধ রইলো আমাদের গরিবের ইমরান হাশমি,Celebrity,dishonour
আমদের ভবিষ্যতের জনি দা আর মিয়া খলিফা,Celebrity,dishonour
এইসব মেয়েদের কারা বিয়ে করে জানতে চাওয়া আমার মন,Celebrity,dishonour
শেষ পর্যন্ত কাপড় খুলে ফেললাআর কত দেখবো,Celebrity,dishonour
"শাউওর কথা কও আমার, তুমি মন না স্যাটা ভাঙো",Celebrity,Incursive
ভ্যানেলা আইসক্রিম নাহ খেয়ে ছাড়া আইনত দণ্ডনীয় অপরাধ।,Celebrity,Sexual
শারীরিক কাঠামো একটু গঠনশীল করে নিলে ছবিগুলো আরো নজরকাড়া হত।,Celebrity,Sexual
এই শীতকালে আপনাদের এত গরম লাগে কেন? না মানে শীতের জামা কাপড় নাই নাকি আপনাদের???,Celebrity,dishonour
"তারমানে আজকে গরম আমার একা লাগে নি, আপনাদেরও গরম লাগছে। তাই খালি গায়ে এসব ছি মার্কা ছবি তুলেছেন",Celebrity,dishonour
দেশ এর আবর্জনা এসব ....,Celebrity,dishonour
নুনু ছোট বলে মেয়েটা তৃপ্তি পাচ্ছে নাহ,Celebrity,Sexual
"ঠোঁট দুটো জোস ছিল , লিপস্টিক টা সেই ফুটে উঠেছে",Celebrity,Sexual
এতো বড় ফক্কিনি আমি জীবনে দেখিনি.....,Celebrity,dishonour
এই ধরনের সালমান দের বালে সুপার গ্লু লাগিয়ে দেওয়া উচিৎ।,Celebrity,Incursive
"ইদানিং স্বপ্ন না দেখেই, স্বপ্নদোষ হচ্ছে,",Celebrity,Sexual
ভাই লিংকটা কবে পাবো?,Celebrity,Sexual
"নারীর মে বৃত্ত নাভী সেটা যদি সুন্দর না হয় তাহলে কোন কিছুই সুন্দর হবে না, এইটা নাভী না নলকূপের কুয়ার পানি নামার ঢাল! এর থেকে জেসিয়ার নাভীটা সুন্দর ছিল।",Celebrity,Sexual
অলরেডি কোটি কোটি শক্রানুরা দৌড় প্রতিযোগিতায় নেমে পরেছে। কার আগে কে আসবে।,Celebrity,Sexual
তীব্র এই শিতে এই অসহায় মানুষ দুটিকে শীতবস্ত্র বিতরণে কি কেউ নাই,Celebrity,dishonour
"ইস রে মেয়েটার মনে হয় শীত করছে ঠান্ডায় চোখ খুলতে পারছে না,আর ভাইয়া টাও কেমন জোর করে ধরে আছে শীতের জামা পরতে কি দিবে না,নিজেও তো খালি শরীরের হাড় হাড্ডি দেখাইতেছে",Celebrity,Sexual
"মেয়ে টা কে দেখে মনে হয় বয়স অল্প ,সালমান ভাই একটু আস্তে আস্তে কাজ করবানা হলে মেয়ে টা মরে যেতে পারে",Celebrity,Sexual
"উফফ বুঝলাম না ছোট ভাই! এই শীতের চোদনে আমরা কেউ ঠেং তোলে দাড়াতে পারছিনা,আর তুমি এভাবে লেংটা হয়ে আমাদের সাম্নে আসছো! এটা খুবি অমানবিক আচরণ।",Celebrity,Sexual
সালমানের স্টাম্প থেকে ঝোল পড়তেছে,Celebrity,Sexual
মুদিরপুত তোর কি লাজ লইজ্জা বলতে কিছুই নাই?,Celebrity,Incursive
ব্রো দুইটা ছবিতে এক্সপ্রেশন চটির কভার ফটো হয়ে গেছে। বাকি ছবিগুলো সুন্দর,Celebrity,Sexual
বুকের উপর দিয়ে মালবাহী ট্রাক চলে চলে সমতলে পরিণত হইচে।,Celebrity,Sexual
ভাই এইটা জেসিকার মতো না কিন্তু এইটা ওইটার থেকে উন্নত মানের এইটা সহজে ছেড়ে দিও না কমপক্ষে ২ বছর ধরে খাও,Celebrity,Incursive
উফফ বুঝলাম না তুমি এত লো কোয়ালিটির আন্ডার প্যান্ট ইউজ করো কেন দাদা?? আন্ডার প্যান্ট ফুটো হয়ে গেলে তো বিপদ হয়ে যাবে।আমাকে বললেই তো আমি দারাজ থেকে পিংক কালারের একটা আন্ডার প্যান্ট তোমাকে গিফট করতাম।,Celebrity,dishonour
খা খা চুষে চুষে খা!,Celebrity,Sexual
ওই হালারপু এখনো তোদের কাপড় থাকে কিভাবে?,Celebrity,Incursive
এই রকম পোস্ট দেখে মনে হয় নিজের বিচিটা দরজাই চিপায় রেখে হালকা করে চাপ দিয়ে চমকে উঠি,Celebrity,dishonour
"পাছায় আগুন লাগছিল,তাই ভুইলা নিচের পেন্ট না খুইলা,,উপ্রেরের জামা খুইলা ফেলছে",Celebrity,dishonour
কিছু কিছু পোলাপাইনের গিটারে টুং টাং সুর ওঠানোর জন্য এইটুকুই যথেষ্ট,Celebrity,Sexual
ইতরের বাচ্চা। যুব সমাজ টাকে শেষ করে দিল। শালার বাপ-মা ও মনে হয় এমন বদমাশ।,Celebrity,Incursive
ভাই মাইয়ার পাছায় মাংস কম।।।বাদ দেন এইডারে। মারিয়া ননির লগে হাংগা দেন,Celebrity,Sexual
শালা ইচিং বিচিং ছবি কেন পোষ্ট করছআমি এতক্ষণ পাক বয় ছিলাম এখন তুর পোষ্ট দেখে আমার পাক বেঙ্গে গেছেএত শিতে রাতে গোসল করতে হবে শালা,Celebrity,Sexual
"কদুর বাচ্ছা কদু, তর পুটকিদে ইরাকের মিসাইল দিয়ে তকে মংগল গ্রহে পাঠানোর জন্য ব্যাবস্থা করতেছি আমি।",Celebrity,Incursive
দুপুরে গরুর মাংস খাওয়ার পর থেকেই কেমন জানি শরীর টা গরম হয়ে আছে তার মধ্যে এখন আবার আপনাদের গরম ছবি দেখলাম আজ আর মনে হয় হাতটা কে রক্ষা করতে পারবো!,Celebrity,Sexual
মেয়েটা খালি গা না হইয়া আপনি হইলেন কেন ভাই? আপনার তো কিছু নাই কি দেখব?,Celebrity,Sexual
আজ কাল নর্মল মেয়ে দেখেও তোরটা দারাচ্ছে??,Celebrity,Sexual
এসব ঘষাঘ‌ষি ও ডলাড‌লির পিক না দি‌য়ে ডি‌রেক্ট লিংকটা দে।যুবসমাজ গিটা‌রের প‌রিপূর্ণ সুর উঠা‌তে উদযী‌বিত হউক।,Celebrity,Sexual
শীত লাগতেসে না? খালি গায়ে,Celebrity,dishonour
"কিও ভাই একা একাই খাইবেন,আমাদের দিকেও একটু তাকান,আমাদের কাছেও পাখিটা দেন একটু ধরি.",Celebrity,Sexual
"প্রথমে ভেবেছিলাম কোনো কনডম এর বিজ্ঞাপন,",Celebrity,Sexual
এখানে পর্ণ ভিডিওর জন্য অডিশন চলতেছে।,Celebrity,Sexual
মর্ডানিজম এর নামে অশ্লীলতা ছড়ানোর অপরাধে এই অশ্লীলতার বাটখারা টাকে এক গ্লাস বোরহানি খাওয়ানোর বিশেষ দাবি জানাচ্ছি!,Celebrity,Incursive
খেয়ে দেয়ে ছেড়ে দেয় তবুও কেন এই চাপা ভাজ্ঞার এতো চাহিদা বাড়ায় বাল পাকনা মাইয়া গুনি।,Celebrity,Sexual
রোজ রোজ কত ভালো মানুষ মারা যায় তুই মরচ না কা সালার নষ্টের বাঁচ্ছা,Celebrity,Incursive
"সালমা তুই দারা, বিচির মাঝখানে সালমানের ছোট্ট বাড়া",Celebrity,Sexual
ওয়েট গিটারের শুর উঠিয়ে আসি,Celebrity,Sexual
তোর বিচি দুইটা যদি রেললাইনের ইস্পাতের ওপর রেখে ৫কেজি ওজনের হাতুড়ি দিয়ে পিডাতে পারতাম।,Celebrity,Incursive
"অয় করছে অয় শিওর করছে, সরি ব্রো অয় ডলা ডলি ডাই শুধু করছে",Celebrity,Sexual
খানকির পুলা।ওরে রিপোর্ট মারেন সবাই।এসব অতি মাত্রায় অশ্লীলতা।,Celebrity,Incursive
"তেমন কিছু না, শীত চলে যাচ্ছে তাই কম কাপড় পড়ে থাকার অভ্যাস করে নিচ্ছে",Celebrity,dishonour
"তোরা সিটি করপোরেশনের ড্রেনের ময়লা আবর্জনায় থাকা কীটের চেয়ে জঘন্য। তুই বাংলাদেশের সেরা হিজড়া মার্কা পোলা। শালা তোরে সেফুদার কাছে পাঠানো দরকার, সাথে এই নস্টা মাইয়ারেও। জার্মান শেফার্ড রেডি আছে তোদের জন্য।",Celebrity,dishonour
"তুমি হালায় পাঙ্গাশ মাছের মতো, দেখতে সুন্দর,নাদুস নুদুস,দামও কম, শুধু খাইবার বেলায় স্বাদ নাই!",Celebrity,dishonour
ব্যাস যেমনি দেখলা ১৪ই ফেব্রুয়ারী আসছে অমনি অমনি তোমার লুচুলিলা শুরু হয়ে গেলো।আর গায়ে জামা-কাপর নেই কেন অভদ্র ছেলে।আম্মু বকা দেয় না?,Celebrity,Sexual
কয়ডা লাগে তোর,Celebrity,dishonour
সালমানের ছোট্ট ভারা হই না খাড়া,Celebrity,Sexual
বাঙ্গালী মেয়েরা কতটা হর্নি হয়ে আছে তা এই পোস্টের মেয়েদের কমেন্ট গুলো দেখলেই বোঝা যায়।,Celebrity,Sexual
"সবেমাত্র কম্বল গায়ে দিয়ে শুলাম, এই ছবিগুলা দেখার পরথেকেই আমার শরীরে গরম লাগা শুরু হয়ে গেলো,",Celebrity,Sexual
মেয়েটার পেট সুন্দর না,Celebrity,Sexual
দুইটার হোগার মিডেল বরাবর মিসাইল কানেক্ট করে দোনটারে মঙ্গল গ্রহে পাঠানোর ব্যবস্হা করতাছি,Celebrity,Incursive
ফার্স্টে ভাবছিলাম কোনো আজে বাজে সাইটে ঢুকে গেছি,Celebrity,Sexual
"শীতে বিয়ে করার এটাই সুবিধা,, শীতেও ল্যাংটা থাকা যায়, কারণ শীত লাগলে বউ এর গরম ছোয়াই যথেষ্ট",Celebrity,Sexual
আহারে অসহায় গরীব ছেলেমেয়েরা এই শীত এ বস্রহারা,Celebrity,dishonour
"আজকে পাঞ্জাবি পরে ছবি দিলেও পারতে,তা না করে হর্নি হয়ে গেলে কেন",Celebrity,Sexual
এই পর্যন্ত তিন বার হাত মারলাম এই ছবি পোস্ট হওয়ার পর থেকে... ওহ্..! আমি আর পারতেছি না....,Celebrity,Sexual
লুইচ্ছার ঘরের লুইচ্ছা,Celebrity,Sexual
"আহারে বেচারা,,,,, এইবছর শীতবস্ত্র পায়নি বোধ হয়।",Celebrity,dishonour
লুইচ্চামির একটা সীমা থাকা দরকার..আর কত খাবিরে ভাই?,Celebrity,Sexual
"ভাল্লাগে না,এসোব ছবি দেখলে হাগু আসে",Celebrity,dishonour
মাইয়া টা পার ডে কত নিছে ভাই,Celebrity,Sexual
ল্যাউরা ডুকিয়েই ছবি তুলতা,Celebrity,Sexual
লিং আসা বসে থাকা আমি,Celebrity,Sexual
চুতমারানির পুতরে বাংলাদেশ থেকে বের করে দেয়া হোক,Celebrity,Incursive
শালা ফকিন্নির বাচ্চা।তোর বাবা এতোটাই গরিব যে একটা কনডম কেনার টাকা ছিলো না?,Celebrity,dishonour
বাহ বাহ সুদির ভাই বাহ। তুর তো আরো উন্নতি হইসে। তুরে জাদুঘরে রাখা উচিৎ,Celebrity,dishonour
জনি ভাই হওয়ার জন্য তোমাকে প্রচুর জিম করতে হবে ব্রো এবং তোমাকে প্রচুর পুষ্টিসমৃদ্ধ খাবার খেতে হবে যাতে করে পুরুষাঙ্গটা দীর্ঘ থেকে দীর্ঘতর হয়।,Celebrity,Sexual
নিশ্চিত সবগুলারে ডগি স্টাইলে দিছে,Celebrity,Sexual
শর্ট প্যান্টটা কি ওই মেয়েটার,Celebrity,dishonour
ব্রো পরের বার পুরো পিংক কালার দেখতে চাই,Celebrity,dishonour
মানুষের তো একটা রুচি থাকে অন্য কোন কালারের আন্ডারওয়্যার পরতে পারলি না,Celebrity,dishonour
এডি কি পরছস,Celebrity,dishonour
উপর দিয়া ফিটফাট নিচ দিয়া সদরঘাট,Celebrity,dishonour
ডিজিটাল ক্ষেত,Celebrity,dishonour
টোকাই,Celebrity,dishonour
শর্ট পেন্টের এড করতেছে নাকী,Celebrity,Sexual
মেয়ে দের জাইংগা পরে,Celebrity,dishonour
জাঙিয়া পড়ে ঘুরার স্টাইলের নাম কি,Celebrity,dishonour
গোলাপি রং এইডস এর সংকেত!,Celebrity,dishonour
গোলাপি তার দাম কত?,Celebrity,dishonour
দে এ দুগারেও খাইদে,Celebrity,Sexual
"একজন সুস্থ মানুষ এভাবে রাস্তায় বের হতে পারে না,",Celebrity,dishonour
এদের জন্ম রাস্তায় নয়তো,Celebrity,dishonour
এইটা কি পরছে নিচে বোকাচন্দ্র।,Celebrity,dishonour
লো বাজেটের ক্যাপশন,Celebrity,dishonour
"কাজের পর গোসল,অতপর ছবি....",Celebrity,Sexual
আচ্ছা ভাই হাগতে বসলে কোঁতান দেও কি?,Celebrity,dishonour
প্রেমিক পুরুষ কথা কম খাই বেশি,Celebrity,dishonour
ভাইয়া আজকের লিংকটা কখন বের হবে,Celebrity,Sexual
মর্নিং কাম কালাস,Celebrity,Sexual
"যখন সকাল বেলাই হেতে টয়লেট সেরে বাহির হয়,",Celebrity,dishonour
এত নোংরা বই বইমেলায় প্রকাশ পাইলো কেমনে,Celebrity,dishonour
বাবা দরবেশ,Celebrity,dishonour
আজকের আওয়াজ আগামীর ফুটফুটে বেবি,Celebrity,Sexual
আপনার মতো আওয়াজ করানোর মানুষ নাই!,Celebrity,Sexual
দূর্ঘটনায় পৃথিবীতে উড়ে আসা এক নক্ষত্র,Celebrity,Sexual
যেমন ঠাপা ঠাপ,Celebrity,Sexual
ভালো পলিথিন ব্যবহার না করলে আওয়াজ তো বেশি হবেই!!,Celebrity,Sexual
এগুলা কি তুমি ওইটা করার পরে পরছ ব্রো,Celebrity,Sexual
সক্কাল সক্কাল তোমার হর্নি লুকটা দেখে ঘুম ভাঙলো,Celebrity,Sexual
"ঘরে যাও সালমান, এভাবে বাইরে শাওউআর ড্রেস পরে ঘুরিওনা।",Celebrity,Sexual
আটার রুটি পাঁঠার মাংস তোমার রূপে আমি ধ্বংস,Celebrity,dishonour
"ভাই ড্রেস টা তো কেমন যেনো চিনা চিনা লাগছে, আমিও সেম এইরকম ড্রেস মানবতার দেয়ালে টানিয়ে দিয়ে ছিলাম কালকে।",Celebrity,dishonour
ভাই সব শেষে তৃতীয় লিংগের মানুষ ও ছাড়লা না,Celebrity,dishonour
বাংলার জনী দা,Celebrity,Sexual
আর কয়টা খাবি ভাই,Celebrity,Sexual
ভাই আপনি এত আইটেম কই পান??,Celebrity,dishonour
আজকে কয়বার ভাই?,Celebrity,Sexual
ভাইরে ভাই এত কালেকশন পাই কই,Celebrity,dishonour
ভালোবাসা কম্বলের নিচেই সুন্দর,Celebrity,dishonour
কয় গেম দিলা ভাইয়া,Celebrity,Sexual
আর কয়টা রে খাবি,Celebrity,Sexual
"উর্বর দুই পাহাড়,",Celebrity,Sexual
কয়দিন ধরে চলছে?,Celebrity,dishonour
ফ্লেভারটার টেস্ট কেমন ব্রো?,Celebrity,Sexual
প্রত্যেকদিন এক কদু কেমন লাগে বন্ধু,Celebrity,Sexual
কত নাম্বার?,Celebrity,dishonour
১৪ই ফেব্রুয়ারি তাহাকে ধার চাই জনাব,Celebrity,Sexual
আর কয়টা খাবি ভাই,Celebrity,Sexual
শহরের চাচাতো ভাই,Celebrity,dishonour
১৪ই ফেব্রুয়ারির জন্য নতুন আমদানি নাকি,Celebrity,Sexual
মাইয়াডা শেষ,Celebrity,Sexual
এক রাতে কত করে,Celebrity,Sexual
ভাই টেস্ট কেমন,Celebrity,Sexual
১ রাতের দাম কতো দিচ,Celebrity,Sexual
ভাই এই ফ্লেভার টা কেমন,Celebrity,Sexual
বগল দেখলেই চেনা যায় মেয়েটা বাংলাদেশের।,Celebrity,dishonour
ছবি দেখে ফিল নিচ্ছি,Celebrity,Sexual
"ছোট ভাই, দুই একটা এদিকেও পাঠান! আমরা তো পুরাই উপোস আছি!!",Celebrity,Sexual
মাইয়া গুলাও পারে দেইখা দেইখা লুইচ্ছা বেডার পেছন পেছন ঘুরতে।,Celebrity,dishonour
আর কত পানি আছে তোমার সমুদ্রের উচ্চতা! আর কতজনকে এ পানিতে গোসল করাবে?এটা কি শেষ হবে না,Celebrity,Sexual
এক কাউয়া কতো পাখি খায়,Celebrity,dishonour
মানবতার নারীওয়ালা!,Celebrity,dishonour
সহবাস কেমন করছ,Celebrity,Sexual
রেট কত নিলো..?,Celebrity,Sexual
"লুচ্চামি কবে ছাড়বা বস,,",Celebrity,dishonour
এইটারে ও কী খায়া দিলা,Celebrity,Sexual
আর কয়জনরে খাবি রে ভাই,Celebrity,Sexual
ভাই এই ফ্লেভার টা কেমন..?,Celebrity,Sexual
উপর ঠিকঠাক নিচ সদরঘাট,Celebrity,dishonour
লেন্টা কেন ভাই,Celebrity,Sexual
নিচের বঙ্গোপসাগরে দেখা যায়,Celebrity,Sexual
আর কয়জনরে খাবি হালারপুত?,Celebrity,Incursive
সকাল সকাল দেখেই খারায় গেলো,Celebrity,Sexual
এবার পর্ন ভিডিও লাগবে,Celebrity,Sexual
লাগানের আগে না পরে,Celebrity,Sexual
মাইয়াডার হাপ্পিন কই,Celebrity,Sexual
মাইয়াডা নেংটা,Celebrity,Sexual
মেয়ে সহ প্রাইস কত?,Celebrity,Sexual
নিচে শীত লাগে না?,Celebrity,Sexual
"আরে অসহায় মাইয়া টারে কাচে পাইলে একটা লুঙ্গি দিতাম,",Celebrity,dishonour
"ভাই তুমি প্যান্ট পরলা কিন্তু মাইয়াটারে দিলা না, এইটা একটা কাজ হইলো?",Celebrity,dishonour
ওমা বেডির হাপ্পেন কই,Celebrity,dishonour
রানে ঠান্ডা লাগে না,Celebrity,Sexual
"ভাই,এই ভাবির ঠান্ডা লাগে না নিচে?",Celebrity,Sexual
অস্ত্র দাঁড়িয়ে গেছে,Celebrity,Sexual
এই মাইয়া গুলোরে বিয়ে করবে কে.???!,Celebrity,dishonour
শেষ মেশ এটারেও খাইয়া দিলি,Celebrity,Sexual
ভাই রুচির ঔষধ খাইয়েন আপনার তো দেখি রুচির অভাব আছে,Celebrity,dishonour
আহ!জীবনে গরীব হলে খুব সমস্যা একটা প্যান্ট ক্রয় করার সামর্থ্য ও নাই খুব দুঃখজনক,Celebrity,dishonour
ভাই আফা পায়জামা পড়তে ভুলে গেছে ছবি গুলা ডিলিট কইরা দেন,Celebrity,dishonour
তলে দিয়ে দেহা যায়,Celebrity,Sexual
মেয়ে এটা ল্যংটা কেন?,Celebrity,Sexual
আপুটার উপরে আটলান্টিক আর নিচে কুয়েতের মরুভূমি,Celebrity,Sexual
নিন্মাঞ্চলে ঠান্ডা লাগে না??,Celebrity,Sexual
